User_Id,Session_start,Session_end,Offer_notification_click_time,Purchase_completion_time
230,2025-05-03 06:23:00,2025-05-03 07:41:00,2025-05-03 07:02:15,
231,2025-05-08 02:14:00,2025-05-08 02:39:00,,2025-05-08 02:29:17
232,2025-05-07 20:44:00,2025-05-07 21:36:00,,2025-05-07 21:26:55
233,2025-05-02 14:53:00,2025-05-02 15:49:00,,2025-05-02 14:58:40
234,2025-05-02 05:37:00,2025-05-02 05:58:00,2025-05-02 05:57:18,2025-05-02 05:40:00
235,2025-05-10 04:53:00,2025-05-10 06:08:00,2025-05-10 05:49:37,2025-05-10 05:57:05
236,2025-05-03 05:46:00,2025-05-03 06:20:00,2025-05-03 05:56:58,
237,2025-05-03 23:47:00,2025-05-04 01:15:00,,
238,2025-05-03 23:49:00,2025-05-04 00:36:00,2025-05-04 00:14:26,
239,2025-05-01 12:34:00,2025-05-01 13:01:00,2025-05-01 12:38:16,2025-05-01 12:43:47
240,2025-05-09 21:13:00,2025-05-09 21:43:00,2025-05-09 21:39:58,
241,2025-05-02 03:17:00,2025-05-02 03:48:00,2025-05-02 03:31:34,2025-05-02 03:46:03
242,2025-05-07 07:17:00,2025-05-07 07:38:00,,2025-05-07 07:30:18
243,2025-05-07 08:32:00,2025-05-07 09:18:00,,2025-05-07 09:01:28
244,2025-05-03 13:14:00,2025-05-03 14:08:00,,2025-05-03 13:49:13
245,2025-05-05 01:42:00,2025-05-05 02:23:00,,
246,2025-05-07 23:03:00,2025-05-07 23:35:00,,2025-05-07 23:11:35
247,2025-05-08 19:53:00,2025-05-08 21:04:00,,2025-05-08 21:00:29
248,2025-05-07 18:01:00,2025-05-07 18:32:00,2025-05-07 18:20:36,2025-05-07 18:21:18
249,2025-05-08 02:43:00,2025-05-08 03:40:00,2025-05-08 03:18:20,
250,2025-05-04 04:08:00,2025-05-04 04:41:00,2025-05-04 04:10:45,
251,2025-05-08 01:00:00,2025-05-08 01:58:00,,2025-05-08 01:39:10
252,2025-05-04 06:16:00,2025-05-04 07:30:00,2025-05-04 06:56:14,2025-05-04 07:05:23
253,2025-05-03 22:02:00,2025-05-03 22:51:00,2025-05-03 22:43:14,2025-05-03 22:50:56
254,2025-05-03 20:12:00,2025-05-03 21:39:00,2025-05-03 20:37:43,
255,2025-05-02 07:27:00,2025-05-02 08:43:00,2025-05-02 07:31:55,2025-05-02 07:59:33
256,2025-05-04 05:57:00,2025-05-04 06:58:00,2025-05-04 06:06:34,
257,2025-05-04 05:54:00,2025-05-04 07:19:00,2025-05-04 07:13:44,2025-05-04 07:16:54
258,2025-05-07 07:30:00,2025-05-07 08:04:00,2025-05-07 07:40:18,2025-05-07 07:56:15
259,2025-05-02 02:07:00,2025-05-02 03:15:00,2025-05-02 03:13:02,2025-05-02 03:13:32
260,2025-05-07 14:34:00,2025-05-07 15:44:00,2025-05-07 14:54:26,2025-05-07 15:21:38
261,2025-05-10 02:46:00,2025-05-10 03:31:00,,2025-05-10 02:53:23
262,2025-05-09 13:06:00,2025-05-09 14:25:00,,2025-05-09 13:55:45
263,2025-05-02 11:23:00,2025-05-02 11:51:00,,2025-05-02 11:44:29
264,2025-05-09 09:52:00,2025-05-09 10:36:00,2025-05-09 10:22:28,2025-05-09 10:26:07
265,2025-05-04 20:41:00,2025-05-04 21:33:00,2025-05-04 20:41:31,
266,2025-05-09 05:08:00,2025-05-09 06:28:00,,2025-05-09 05:11:47
267,2025-05-08 23:04:00,2025-05-09 00:34:00,2025-05-09 00:02:18,2025-05-09 00:09:50
268,2025-05-10 23:44:00,2025-05-11 00:40:00,2025-05-11 00:26:40,
269,2025-05-07 14:55:00,2025-05-07 15:35:00,,2025-05-07 14:57:04
270,2025-05-08 22:11:00,2025-05-08 22:52:00,2025-05-08 22:24:10,
271,2025-05-02 06:19:00,2025-05-02 06:59:00,2025-05-02 06:30:21,
272,2025-05-03 23:33:00,2025-05-04 00:54:00,,
273,2025-05-09 03:58:00,2025-05-09 05:12:00,,2025-05-09 04:38:28
274,2025-05-06 23:23:00,2025-05-07 00:53:00,,2025-05-07 00:00:43
275,2025-05-10 21:04:00,2025-05-10 22:01:00,,2025-05-10 21:52:18
276,2025-05-01 18:06:00,2025-05-01 18:39:00,,
277,2025-05-10 03:25:00,2025-05-10 03:53:00,2025-05-10 03:37:16,
278,2025-05-05 19:56:00,2025-05-05 20:19:00,,
279,2025-05-06 11:21:00,2025-05-06 11:58:00,2025-05-06 11:28:37,2025-05-06 11:49:30
280,2025-05-05 07:48:00,2025-05-05 09:01:00,2025-05-05 08:48:53,
281,2025-05-06 01:43:00,2025-05-06 02:51:00,,2025-05-06 02:33:37
282,2025-05-02 13:00:00,2025-05-02 14:08:00,,
283,2025-05-04 06:27:00,2025-05-04 06:54:00,,
284,2025-05-07 07:37:00,2025-05-07 08:32:00,2025-05-07 08:21:03,
285,2025-05-01 12:46:00,2025-05-01 13:16:00,,
286,2025-05-05 14:21:00,2025-05-05 15:50:00,,
287,2025-05-05 06:48:00,2025-05-05 07:45:00,,
288,2025-05-09 07:45:00,2025-05-09 08:55:00,2025-05-09 07:52:20,
289,2025-05-01 11:27:00,2025-05-01 11:53:00,,
290,2025-05-04 07:13:00,2025-05-04 08:04:00,,
291,2025-05-06 03:31:00,2025-05-06 04:29:00,2025-05-06 04:11:05,2025-05-06 04:19:52
292,2025-05-07 10:23:00,2025-05-07 11:39:00,2025-05-07 11:05:32,2025-05-07 11:23:34
293,2025-05-05 02:46:00,2025-05-05 03:21:00,,2025-05-05 03:05:31
294,2025-05-04 19:22:00,2025-05-04 20:50:00,,2025-05-04 19:31:02
295,2025-05-09 03:42:00,2025-05-09 04:57:00,2025-05-09 04:24:31,
296,2025-05-05 18:36:00,2025-05-05 19:10:00,,2025-05-05 18:59:43
297,2025-05-01 02:03:00,2025-05-01 03:12:00,,2025-05-01 02:28:51
298,2025-05-04 07:42:00,2025-05-04 09:07:00,2025-05-04 07:47:55,
299,2025-05-10 22:30:00,2025-05-10 23:43:00,2025-05-10 23:15:36,
300,2025-05-10 02:12:00,2025-05-10 03:12:00,2025-05-10 03:02:20,
301,2025-05-05 10:07:00,2025-05-05 11:12:00,,2025-05-05 10:31:07
302,2025-05-04 02:27:00,2025-05-04 03:32:00,2025-05-04 02:31:00,
303,2025-05-02 03:34:00,2025-05-02 04:37:00,2025-05-02 04:00:49,2025-05-02 04:05:42
304,2025-05-02 16:50:00,2025-05-02 17:51:00,2025-05-02 17:12:55,
305,2025-05-06 14:20:00,2025-05-06 14:59:00,,2025-05-06 14:41:20
306,2025-05-01 11:49:00,2025-05-01 12:51:00,2025-05-01 12:16:41,
307,2025-05-07 20:48:00,2025-05-07 21:40:00,2025-05-07 21:19:58,2025-05-07 21:31:15
308,2025-05-09 18:54:00,2025-05-09 20:00:00,,
309,2025-05-05 02:16:00,2025-05-05 02:43:00,2025-05-05 02:33:10,
310,2025-05-10 10:57:00,2025-05-10 12:09:00,2025-05-10 11:50:03,
311,2025-05-03 17:10:00,2025-05-03 18:29:00,,
312,2025-05-02 21:05:00,2025-05-02 21:37:00,2025-05-02 21:08:52,
313,2025-05-02 02:43:00,2025-05-02 03:58:00,,
314,2025-05-06 08:18:00,2025-05-06 08:48:00,2025-05-06 08:47:21,2025-05-06 08:47:32
315,2025-05-10 14:11:00,2025-05-10 14:33:00,,
316,2025-05-05 04:38:00,2025-05-05 05:36:00,2025-05-05 04:44:46,2025-05-05 05:01:04
317,2025-05-02 00:34:00,2025-05-02 00:54:00,,
318,2025-05-10 23:39:00,2025-05-11 00:25:00,,
319,2025-05-05 17:13:00,2025-05-05 18:32:00,2025-05-05 18:20:45,
320,2025-05-06 08:40:00,2025-05-06 09:02:00,2025-05-06 09:01:31,
321,2025-05-09 11:55:00,2025-05-09 13:20:00,2025-05-09 12:56:25,2025-05-09 12:34:30
322,2025-05-03 11:31:00,2025-05-03 12:43:00,2025-05-03 11:35:45,2025-05-03 12:14:19
323,2025-05-07 02:07:00,2025-05-07 03:15:00,,
324,2025-05-08 08:22:00,2025-05-08 09:42:00,,
